temperature,humidity,tvoc,eco2,fire_alarm
0.48123016841591415,0.6390009308098045,0.018483333333333334,0.0,1
0.18690505247742256,0.7001241079739372,0.0033,0.0,1
0.5975103734439835,0.5739993794601304,0.021933333333333336,0.00010067114093959776,1
0.5718818647791067,0.6436549798324541,0.019783333333333333,0.00020134228187919465,1
0.5450207468879669,0.46183679801427235,0.0009666666666666667,0.0,0
0.10444227483524535,0.6270555383183368,0.022850000000000002,0.0,1
0.42612887478642913,0.5733788395904437,0.017750000000000002,0.00365771812080537,1
0.7152794727849647,0.06919019547005895,0.0,0.009983221476510066,1
0.5112277276055651,0.7897921191436549,0.004416666666666667,0.0,1
0.24707102758115698,0.6616506360533664,0.021666666666666667,8.389261744966466e-05,1
0.5875030510129363,0.5950977350294756,0.016466666666666668,0.004161073825503356,1
0.569319013912619,0.38923363326093696,0.0025333333333333336,0.011644295302013422,1
0.40737124725408835,0.48495190816009925,0.0027166666666666667,0.00036912751677852396,0
0.4244935318525751,0.5650015513496741,0.017400000000000002,0.0005536912751677855,1
0.28223090065901885,0.6866273658082531,0.0151,0.0046979865771812086,1
0.5971442518916281,0.5769469438411418,0.018633333333333335,0.0,1
0.10390529655845746,0.5819112627986348,0.022433333333333333,0.0,1
0.5903099829143276,0.6177474402730375,0.022283333333333336,0.0,1
0.4985111056870882,0.5688799255352155,0.019433333333333334,0.0018624161073825512,1
0.4444227483524531,0.6715792739683525,0.022183333333333333,0.0004194630872483224,1
0.17658042470100077,0.48883028234564063,0.0015333333333333334,0.0,0
0.5969001708567245,0.5798945082221532,0.02291666666666667,0.0,1
0.21588967537222362,0.6777846726652187,0.013016666666666668,0.009295302013422818,1
0.5940932389553333,0.589512876202296,0.022183333333333333,0.0,1
0.21006834268977306,0.516289171579274,0.0019333333333333333,0.0,0
0.5706614596045887,0.6466025442134657,0.02305,0.00023489932885906086,1
0.6113009519160362,0.45190816009928636,0.0010166666666666668,0.0008053691275167786,0
0.5720283134000488,0.6540490226497052,0.00043333333333333337,0.0,0
0.21868440322186972,0.5774123487434067,0.0011333333333333334,0.0,0
0.0017085672443251654,0.5811355879615265,0.0219,0.0,1
0.5670002440810349,0.6694073844244492,0.02315,0.00021812080536912776,1
0.32648279228703936,0.6593236115420416,0.017333333333333333,0.0045469798657718115,1
0.23083963876006838,0.2652807942910332,1.0,0.0858221476510067,0
0.598974859653405,0.5442134657151722,0.0005333333333333334,0.0,0
0.16754942640956802,0.6962457337883958,0.002616666666666667,0.0,1
0.3980595557725165,0.4990691901954699,0.0028333333333333335,0.00038590604026845707,0
0.49441054430070785,0.5968042196711139,0.020300000000000002,0.0021308724832214774,1
0.513668537954601,0.6546695625193918,0.0020833333333333333,0.0,1
0.5073590432023432,0.5691901954700589,0.017816666666666668,0.0015604026845637588,1
